gameId,region,summonerName,tier,rank,tierRank,wins,losses,win,lane,role,championId,spell1Id,spell2Id,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageDealtToObjectives,timeCCingOthers,totalDamageTaken,totalMinionsKilled,goldEarned,goldSpent,visionScore,team-firstBlood,team-firstTower,team-firstInhibitor,team-firstBaron,team-firstDragon,team-firstRiftHerald,team-towerKills,team-inhibitorKills,team-baronKills,team-dragonKills,team-vilemawKills,team-riftHeraldKills
1008260800,la2,starboy2003,IRON,III,IRON-III,3,8,True,BOTTOM,DUO_SUPPORT,89,4,14,1,10,17,0,1,0,256,0,0,0,0,27024,9375,598,4,4042,47,23721,22,8539,7800,29,True,True,True,True,False,True,11,3,2,2,0,2
1008218594,la2,starboy2003,IRON,III,IRON-III,3,8,False,BOTTOM,DUO_SUPPORT,98,4,14,2,13,14,0,1,0,261,0,0,0,0,22878,10549,1648,1,1155,25,29032,21,7875,7500,33,True,True,False,False,True,True,2,0,0,1,0,1
1007865682,la2,starboy2003,IRON,III,IRON-III,3,8,False,BOTTOM,DUO_SUPPORT,54,4,14,1,7,9,0,1,0,482,0,0,0,0,21026,7857,543,1,0,20,14935,24,5766,4800,32,False,False,False,False,True,False,1,0,0,1,0,0
1007660020,la2,starboy2003,IRON,III,IRON-III,3,8,False,BOTTOM,DUO_SUPPORT,98,4,14,5,3,12,3,2,2,813,1,0,0,0,36359,7195,3563,1,997,20,23095,44,10032,9900,32,True,False,False,False,False,True,5,0,0,0,0,2
1007272625,la2,starboy2003,IRON,III,IRON-III,3,8,False,BOTTOM,DUO_SUPPORT,54,4,14,5,10,9,3,1,1,521,0,0,0,0,49487,12038,1579,1,6943,28,24346,51,9598,8700,42,True,True,False,False,False,True,7,0,0,3,0,2
1007261231,la2,starboy2003,IRON,III,IRON-III,3,8,True,NONE,DUO,98,4,14,0,0,0,0,0,0,0,0,0,0,0,1844,52,0,0,0,0,689,7,823,450,0,False,False,False,False,False,False,0,0,0,0,0,0
1007187683,la2,starboy2003,IRON,III,IRON-III,3,8,True,BOTTOM,DUO_SUPPORT,98,4,14,1,8,10,0,1,0,297,0,0,0,0,30787,6568,4725,1,5393,20,22666,33,7803,7100,28,True,True,True,True,True,True,11,3,1,4,0,1
976047021,la2,starboy2003,IRON,III,IRON-III,3,8,False,TOP,SOLO,54,4,12,5,6,8,2,1,2,418,0,0,0,0,98331,14676,528,1,4734,27,20676,92,8189,7900,10,False,False,False,False,False,False,1,0,0,0,0,0
975629260,la2,starboy2003,IRON,III,IRON-III,3,8,False,TOP,SOLO,54,4,12,1,7,4,0,1,0,406,0,0,0,0,36050,8013,124,1,371,20,13714,58,4849,4800,5,False,False,False,False,False,False,0,0,0,0,0,0
975628443,la2,starboy2003,IRON,III,IRON-III,3,8,True,TOP,SOLO,54,4,12,2,1,7,2,1,1,1129,0,0,0,0,50811,8604,240,1,4408,16,7491,77,6280,5500,7,True,True,True,False,True,False,8,1,0,2,0,1
