gameId,region,summonerName,tierRank,wins,losses,win,lane,role,championId,spell1Id,spell2Id,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,totalDamageDealt,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageDealtToObjectives,timeCCingOthers,totalDamageTaken,totalMinionsKilled,goldEarned,goldSpent,visionScore,team-firstBlood,team-firstTower,team-firstInhibitor,team-firstBaron,team-firstDragon,team-firstRiftHerald,team-towerKills,team-inhibitorKills,team-baronKills,team-dragonKills,team-vilemawKills,team-riftHeraldKills
1030725779,la2,zotaaaN,GOLD-IV,62,47,True,MIDDLE,SOLO,101,14,4,15,8,15,5,2,4,441,1,0,0,0,251804,55341,1286,1,8815,47,20040,225,20407,16550,41,False,False,True,False,False,False,11,5,2,3,0,0
1054304273,la2,ShungleR,GOLD-IV,141,158,True,BOTTOM,DUO_SUPPORT,350,14,3,3,4,27,2,1,1,993,0,0,0,0,28949,16591,21947,5,3672,35,10487,7,11327,10325,76,False,False,False,True,False,False,9,3,1,1,0,0
1057356781,la2,Fenix MG,GOLD-IV,44,46,False,BOTTOM,DUO_SUPPORT,43,4,3,0,11,5,0,0,0,515,0,0,0,0,25395,6314,2040,1,585,13,28575,33,8871,8400,96,True,True,False,False,False,True,8,1,0,1,0,2
1042684330,la2,Wales,GOLD-IV,69,60,False,MIDDLE,SOLO,45,4,12,8,7,9,3,1,2,466,0,0,0,0,82245,19626,305,1,2748,28,16553,123,10308,10350,28,False,False,False,False,False,True,2,0,0,2,0,1
1056371723,la2,Dylankszjad,GOLD-IV,17,23,True,MIDDLE,DUO_SUPPORT,63,4,7,24,9,21,6,3,6,300,6,2,0,0,92811,48605,7348,5,857,20,26775,55,18494,16700,0,False,False,True,False,False,False,4,2,0,0,0,0
1057351692,la2,Caretaker97,GOLD-IV,54,41,False,JUNGLE,NONE,121,4,11,5,6,1,2,1,1,501,0,0,0,0,93876,5949,8585,1,9316,3,19866,14,8024,7425,18,True,False,False,False,True,True,2,0,0,1,0,1
1057387808,la2,MrKuroGG,GOLD-IV,14,7,True,MIDDLE,DUO_SUPPORT,117,4,32,2,5,27,2,2,1,300,1,0,0,0,22958,6425,4433,5,1729,27,12890,22,12648,11350,0,False,False,True,False,False,False,4,1,0,0,0,0
1055331100,la2,MakabroMD,GOLD-IV,8,6,True,TOP,SOLO,17,14,4,3,5,15,0,1,0,293,0,0,0,0,126129,28639,6168,1,18365,45,19352,145,11259,8310,18,False,True,False,True,False,True,5,0,1,2,0,1
1057187724,la2,Nitocris,GOLD-IV,1,11,False,JUNGLE,NONE,35,11,54,5,7,5,3,1,1,605,0,0,0,0,78625,7314,3726,1,6127,12,20676,26,11573,11425,8,False,True,False,False,False,True,4,0,0,0,0,1
1052242305,la2,ØLa GanGØ ArleK,GOLD-IV,50,49,False,JUNGLE,NONE,35,11,14,4,8,17,0,1,0,732,0,0,0,0,178651,24102,12539,1,12250,46,48077,41,13070,12625,26,False,False,False,False,True,False,5,0,0,2,0,0
